id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform
1,THIS!!!!,difrad,1,,00:09:47,anti-vaccine,0,1,1,0,0,1,1
2,It's amazing the number of people willing to ignore facts like this,M.Kapadia92,1,,00:02:16,anti-vaccine,0,1,1,0,0,1,1
3,I wish people would get this in their thick heads,livelaughlove,1,,00:02:17,anti-vaccine,0,1,1,0,0,1,
4,Louder for the people in the back!!,SnakeCharmer,1,,00:04:51,pro-vaccine,0,0,0,1,1,0,0
5,"But the vaccines still work, is that not what we care about?",youngcunningham,1,,00:07:36,pro-vaccine,0,0,0,1,1,0,0
6,"Not into this fear mongering, drug companies are still the ones doing the research to keep us healthy",generic-joe,1,,00:06:02,anti-vaccine,0,1,1,0,0,1,1
7,Yeah but... the vaccines are free.. lol. So why do we care that a company is making a profit? Aren't business supposed to make money?,hockeymom101,1,,00:06:03,pro-vaccine,0,0,0,1,1,0,
8,How can you keep painting drug companies as the villain? It's time we all start standing with the science,Smitty12,1,,00:06:11,anti-vaccine,0,1,1,0,0,1,1
9,"I hear you!! And with all those side effects, it's a wonder anyone keeps taking those vaccines",M.Kapadia92,2,,00:04:40,pro-vaccine,0,0,0,1,1,0,0
10,This is what I keep telling my sister! I wish she would stop putting her kids at risk,SnakeCharmer,2,,00:01:59,pro-vaccine,0,0,0,1,1,0,0
11,Risky👏treatments👏have👏to👏go👏,livelaughlove,2,,00:09:39,pro-vaccine,0,0,0,1,1,0,0
12,"Same thing happened to me, was sick for weeks",artisanalways,2,,00:09:40,anti-vaccine,0,1,1,0,0,1,
13,"Even when it doesn't completely stop infection, vaccines still reduce the severity of flu symptoms. Please stop spreading misinformation.",generic-joe,2,,00:08:31,anti-vaccine,0,1,1,0,0,1,1
14,"That's a stretch, and you know it. Please stop using your coincidence as a way to put otherwise healthy people at risk",Smitty12,2,,00:03:06,anti-vaccine,0,1,1,0,0,1,1
15,There is zero science to back the claim you just made ,BossmanRy,2,,00:03:07,pro-vaccine,0,0,0,1,1,0,
16,"Yikes, it was clearly just a coincidence, this is plain ignorant",mariaann,2,,00:03:08,pro-vaccine,0,0,0,1,1,0,
17,The significant increase in severe cases of influenza since normalization of the annual flu shot would say otherwise,hockeymom101,2,,00:04:10,pro-vaccine,0,0,0,1,1,0,0
18,Thank you for sharing!!! Keep exposing these toxins,SnakeCharmer,3,,00:03:21,anti-vaccine,0,1,1,0,0,1,1
19,"Why more people aren't terrified by this, I'll never understand.....",livelaughlove,3,,00:04:22,anti-vaccine,0,1,1,0,0,1,1
20,Oh my god. This is exactly why I went vegan. Can't trust what's in anything that's processed these days ,mateoV,3,,0:07:19,anti-vaccine,0,1,1,0,0,1,
21,I'm sharing this with my family. They just don't understand my stance here ,breethebaker,3,,0:12:00,anti-vaccine,0,1,1,0,0,1,
22,More people need to know! Thank you for posting this image it's a great way to educate people on these dangers,bblueberryy,3,,00:05:52,pro-vaccine,0,0,0,1,1,0,0
23,Are you serious? You know what else has small amounts of mercury? Fish. Don't spout out random scientific terms for fear when you clearly don't know what they mean,Smitty12,3,,00:05:39,pro-vaccine,0,0,0,1,1,0,0
24,"How about instead of immediately assuming these ingredients are bad, you actually do your research on them",KatieeeM,3,,0:04:40,pro-vaccine,0,0,0,1,1,0,
25,"I wish more people understood how these so claimed ""harmful chemicals"" are monitored. The CDC can explain it better than I can, your vaccines are safe: https://www.cdc.gov/vaccines/hcp/patient-ed/conversations/downloads/vacsafe-thimerosal-color-office.pdf",hockeymom101,3,,00:09:58,anti-vaccine,0,1,1,0,0,1,1
26,"Your ignorance is showing. Please do yourself a favor and google these chemicals in vaccines, it's easy to understand how safe they are",SamTHEMAN,3,,00:03:53,anti-vaccine,0,1,1,0,0,1,1
27,Hell yeah! Our body our choice!,livelaughlove,4,,00:07:24,pro-vaccine,0,0,0,1,1,0,0
28,I'm with you! It's time we stand up for our children's health!!!!,bblueberryy,4,,00:05:39,pro-vaccine,0,0,0,1,1,0,0
29,Gotta protect our personal freedoms ❤️,ancho-n-cayenne,4,,00:01:26,pro-vaccine,0,0,0,1,1,0,0
30,YES. My kids will always come first. I don't care what other people think. ,_aikira_,4,,00:04:29,anti-vaccine,0,1,1,0,0,1,
31,"Either you're so ignorant you don't realize not vaccinating your kids hurts those who are immunocompromised, or you really are that selfish",hockeymom101,4,,00:06:17,anti-vaccine,0,1,1,0,0,1,1
32,this is SO selfish. What about other children who CANT get vaccines? You're putting them at risk!!!,DonDonDonna,4,,00:03:53,pro-vaccine,0,0,0,1,1,0,
33,"You'll be thinking this way until your kid gets the bubonic plague.. till then, good luck! ",KatieeeM,4,,00:05:45,pro-vaccine,0,0,0,1,1,0,
34,Having rights doesn't excuse you from societal responsibilities.....,SamTHEMAN,4,,00:09:19,pro-vaccine,0,0,0,1,1,0,0
35,"If you won't do it for yourself, get your kids vaccinated for THEIR sake. It's THEIR health.",Marcymaniac,4,,00:05:40,pro-vaccine,0,0,0,1,1,0,0
36,I'll take the flu over this any day!!!,bblueberryy,5,,00:00:13,anti-vaccine,0,1,1,0,0,1,1
37,Absolutely terrifying.... more people need to realize this!,ancho-n-cayenne,5,,00:05:45,anti-vaccine,0,1,1,0,0,1,1
38,If only more people knew. I'll never understand the appeal of vaccines,john73,5,,00:03:55,anti-vaccine,0,1,1,0,0,1,1
39,This needs to be shown everywhere ,Jcole9,5,,00:01:56,anti-vaccine,0,1,1,0,0,1,
