id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform,r_5,r_25,r_40,r_60,time_old format
1,THIS!!!!,difrad,1,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:17
2,It's amazing the number of people willing to ignore facts like this,M.Kapadia92,1,,0:10,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:16
3,I wish people would get this in their thick heads,livelaughlove,1,,0:17,anti-vaccine,0,1,1,0,0,1,,,,,,00:02:17
4,Louder for the people in the back!!,SnakeCharmer,1,,5:20,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:51
5,"But the vaccines still work, is that not what we care about?",youngcunningham,1,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:36
6,"Not into this fear mongering, drug companies are still the ones doing the research to keep us healthy",generic-joe,1,,0:08,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:02
7,Yeah but... the vaccines are free.. lol. So why do we care that a company is making a profit? Aren't business supposed to make money?,hockeymom101,1,,0:14,pro-vaccine,0,0,0,1,1,0,,,,,,00:06:03
8,How can you keep painting drug companies as the villain? It's time we all start standing with the science,Smitty12,1,,6:24,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:11
9,"I hear you!! And with all those side effects, it's a wonder anyone keeps taking those vaccines",M.Kapadia92,2,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:40
10,This is what I keep telling my sister! I wish she would stop putting her kids at risk,SnakeCharmer,2,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:59
11,Risky👏treatments👏have👏to👏go👏,livelaughlove,2,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:39
12,"Same thing happened to me, was sick for weeks",artisanalways,2,,0:19,anti-vaccine,0,1,1,0,0,1,,,,,,00:09:40
13,"Even when it doesn't completely stop infection, vaccines still reduce the severity of flu symptoms. Please stop spreading misinformation.",generic-joe,2,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:31
14,"That's a stretch, and you know it. Please stop using your coincidence as a way to put otherwise healthy people at risk",Smitty12,2,,0:12,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:06
15,There is zero science to back the claim you just made ,BossmanRy,2,,0:17,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:07
16,"Yikes, it was clearly just a coincidence, this is plain ignorant",mariaann,2,,2:21,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:08
17,The significant increase in severe cases of influenza since normalization of the annual flu shot would say otherwise,john73,2,,4:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:10
18,Thank you for sharing!!! Keep exposing these toxins,SnakeCharmer,3,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:21
19,"Why more people aren't terrified by this, I'll never understand.....",livelaughlove,3,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:22
20,Oh my god. This is exactly why I went vegan. Can't trust what's in anything that's processed these days ,mateoV,3,,0:13,anti-vaccine,0,1,1,0,0,1,,,,,,0:07:19
21,I'm sharing this with my family. They just don't understand my stance here ,breethebaker,3,,0:15,anti-vaccine,0,1,1,0,0,1,,,,,,0:12:00
22,More people need to know! Thank you for posting this image it's a great way to educate people on these dangers,bblueberryy,3,,4:36,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:52
23,Are you serious? You know what else has small amounts of mercury? Fish. Don't spout out random scientific terms for fear when you clearly don't know what they mean,Smitty12,3,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:39
24,"How about instead of immediately assuming these ingredients are bad, you actually do your research on them",KatieeeM,3,,0:11,pro-vaccine,0,0,0,1,1,0,,,,,,0:04:40
25,"I wish more people understood how these so claimed ""harmful chemicals"" are monitored. The CDC can explain it better than I can, your vaccines are safe: https://www.cdc.gov/vaccines/hcp/patient-ed/conversations/downloads/vacsafe-thimerosal-color-office.pdf",hockeymom101,3,,0:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:58
26,"Your ignorance is showing. Please do yourself a favor and google these chemicals in vaccines, it's easy to understand how safe they are",SamTHEMAN,3,,3:48,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:53
27,Hell yeah! Our body our choice!,livelaughlove,4,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:24
28,I'm with you! It's time we stand up for our children's health!!!!,bblueberryy,4,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:39
29,Gotta protect our personal freedoms ❤️,ancho-n-cayenne,4,,0:16,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:26
30,YES. My kids will always come first. I don't care what other people think. ,_aikira_,4,,4:47,anti-vaccine,0,1,1,0,0,1,,,,,,00:04:29
31,"Either you're so ignorant you don't realize not vaccinating your kids hurts those who are immunocompromised, or you really are that selfish",hockeymom101,4,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:17
32,this is SO selfish. What about other children who CANT get vaccines? You're putting them at risk!!!,DonDonDonna,4,,0:08,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:53
33,"You'll be thinking this way until your kid gets the bubonic plague.. till then, good luck! ",KatieeeM,4,,0:15,pro-vaccine,0,0,0,1,1,0,,,,,,00:05:45
34,Having rights doesn't excuse you from societal responsibilities.....,SamTHEMAN,4,,0:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:19
35,"If you won't do it for yourself, get your kids vaccinated for THEIR sake. It's THEIR health.",Marcymaniac,4,,2:54,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:40
36,I'll take the flu over this any day!!!,bblueberryy,5,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:13
37,Absolutely terrifying.... more people need to realize this!,ancho-n-cayenne,5,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:45
38,If only more people knew. I'll never understand the appeal of vaccines,john73,5,,0:12,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:55
39,This needs to be shown everywhere ,Jcole9,5,,3:49,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:56
40,"1 person per MILLION. You'd seriously rather risk life threatening, PREVENTABLE disease?",SamTHEMAN,5,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:50
41,"You really only need to worry if you're in that ""at risk"" column. And that column is the exact reason the rest of us should get vaccinated; to protect them.",Marcymaniac,5,,0:12,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:53
42,This is nothing but fear mongering and you know it,HP743,5,,2:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:33
43,"Great read! 10 stars for sure, love all of the information",ancho-n-cayenne,6,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:29
44,I've been looking for something like this!! I knew there must be healthier alternatives,john73,6,,0:07,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:18
45,"Love this so much, thank you!! Reject the poison shots!",coachmatthews,6,,0:15,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:22
46,"We live in the 21st century with modern solutions, and y'all really move backward and go back to this disease??",Marcymaniac,6,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:46
47,"Never heard of the author. Always check your sources people, trust FACTS not FICTION",MedicalRyan,6,,0:09,pro-vaccine,0,0,0,1,1,0,,,,,,0:03:40
48,"Oh great, the anti-vaxxers have a bible now ",jiruletheworld,6,,4:25,pro-vaccine,0,0,0,1,1,0,,,,,,0:02:10
49,I don't ~need~ a vaccine the same way I don't ~need~ a cast if I break my arm. Doesn't mean it's smart to skip,earthpulse,6,,0:21,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:55
50,"You're telling me you actually read that book and actually follow it cover to cover? Highly doubt it, you're just a troll trying to sow doubt in vaccines",difrad,6,,2:56,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:09
51,I didn't even know about half of these!! Honestly the more I learn the more terrified I am,john73,7,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:28
52,This makes me so sick... all those animal parts?? BIG pass,coachmatthews,7,,0:06,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:35
53,"Yes, exactly. I wasn't vaccinated and I'm doing just fine, at least if I'm exposed to the real thing I'll know exactly what I'm dealing with, and not some list of terrible ingredients!",breethebaker,7,,0:10,anti-vaccine,0,1,1,0,0,1,,,,,,00:02:20
54,Definitely sharing this with my friends.... more people need to know!,NoahM1121,7,,3:26,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:41
55,Ask any physician and they'll be able to explain the purpose these ingredients serve and why they're harmless. Stop this misinformation,HP743,7,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:44
56,"The wording in this photo screams desparation, the fear mongering here is honestly disgusting and just false",southerngirlCel,7,,0:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:03
57,"Maybe do your research before posting any random photo on the internet. A quick google search will explain this ""information"" is intentionally misleading",BossmanRy,7,,4:12,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:49
58,I'm going through the same thing!! So so so frustrating,coachmatthews,8,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:55
59,"You can get exemption!! Talk to the school they should tell you how, don't just give in :)",NoahM1121,8,,0:13,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:58
60,Honestly hate that these mandates still exist. You go!!!,MannyDL34,8,,2:45,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:55
61,Counter argument: you could just do the responsible thing and get your kid vaccinated,southerngirlCel,8,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:17
62,"These rules exist for a reason, it's for everyone's health. Try to be less selfish please",BossmanRy,8,,0:17,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:12
63,"You really out here causing an uproar over a completely reasonable, safety ensuring request? Just get the damn vaccine",TomM41,8,,2:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:09
64,All these side effects and they actually expect us to ignore them for a treatment that only might work. I'm over these vaccines!,NoahM1121,9,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:20
65,This is what I keep saying!!!,MannyDL34,9,,0:11,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:24
66,It's honestly embarrassing. Time to cancel vaccines!,sweetpea,9,,3:48,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:58
67,"If people are immunocompromised, the vaccine may reduce symptoms but may not be completely effective. We already know this. Don't spread misinformation when you clearly don't know your facts.",BossmanRy,9,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:14
